timestamp,block_number,tx_to,amount0,amount1,pool_address,gas_price,gas_used
1755464182,11399326,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,199451985306082705408,-9217153846,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,58987112412,128726
1755464193,11399337,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,35834677905285181440,-1655762813,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,4840039135,129690
1755464197,11399341,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,298466533090552905728,-13787945235,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,131098533331,159767
1755464197,11399341,0x1ebdfc75ffe3ba3de61e7138a3e8706ac841af9b,50000000000000000000,-2310660572,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,22218000000,122540
1755464197,11399341,0xb25b2309bf7d3268afb2f0934cdfa27408d6081b,50000000000000000000,-2309294727,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,20320000000,119851
1755464198,11399342,0x3994898cf05c7e09683d3daade57c0945ffba027,-114058956800136993,5273023,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,208625
1755464228,11399373,0x058e99e564c3a600bdea7f082aba09a877023e0e,929729871368683520,-42949651,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,274855513,311745
1755464231,11399376,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,-1111026801072578663,51363558,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,120000000,418841
1755464232,11399377,0xd53adf299288371998234c610b689b5607de9119,835162399133948928,-38580524,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,1872574862,413805
1755464232,11399377,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,9470273413250273280,-437377471,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1313441981,122945
1755464233,11399378,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,21000000000000000000,-969850784,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,124273
1755464237,11399382,0x058e99e564c3a600bdea7f082aba09a877023e0e,957120233682763776,-44213810,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,403712301,309044
1755464239,11399384,0x058e99e564c3a600bdea7f082aba09a877023e0e,564610419721764864,-26081674,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,560524276,366192
1755464254,11399399,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,38557736432146014208,-1780659994,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,5585109113,121993
1755464257,11399402,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,39000000000000000000,-1800997212,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,125249
1755464258,11399403,0x3994898cf05c7e09683d3daade57c0945ffba027,-3200173032620713521,147926707,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,197878
1755464267,11399412,0x70c2829361a83b7a0e38cb51db4015c32f44d890,-1000051443861163527,46227096,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,150000000,376118
1755464269,11399414,0x70c2829361a83b7a0e38cb51db4015c32f44d890,-1000050193972610760,46227096,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,150000000,376118
1755464284,11399430,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,216744927195521087419,-10007620587,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,141535416184,125273
1755464285,11399431,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,79277569225461893696,-3659754284,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,27431558408,125277
1755464285,11399431,0x9ee0d03bb45268860dd9a72ab681d36c80ea7974,7789967569888310955,-359828405,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,5673885224,123244
1755464285,11399431,0x9ee0d03bb45268860dd9a72ab681d36c80ea7974,3891303395310268955,-179728564,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,2109204708,147164
1755464285,11399431,0x3994898cf05c7e09683d3daade57c0945ffba027,-213966344152753281,9886898,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,208047
1755464287,11399433,0x1ebdfc75ffe3ba3de61e7138a3e8706ac841af9b,3000000000000000000,-138554209,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,1265000000,118621
1755464288,11399434,0x8d5899248ea8b5805c2a62a9c02150f61b390f8c,-83485571593503587,3857679,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,125594058,265069
1755464303,11399449,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,30000000000000000000,-1384820175,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,125263
1755464305,11399451,0x1ebdfc75ffe3ba3de61e7138a3e8706ac841af9b,12000000000000000000,-554151076,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,1265000000,125336
1755464307,11399453,0x058e99e564c3a600bdea7f082aba09a877023e0e,621797256701411328,-28711268,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,670930021,365188
1755464321,11399467,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,35868373572613849088,-1655640147,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,5153678488,121993
1755464322,11399468,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,126068308400845914112,-5818570174,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,32454940435,129711
1755464322,11399468,0x9ee0d03bb45268860dd9a72ab681d36c80ea7974,10000000000000000000,-461707662,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,4375711980,122655
1755464323,11399469,0x3994898cf05c7e09683d3daade57c0945ffba027,-5760719904732728666,266126971,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,215333
1755464324,11399470,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,19833024065272762368,-915298711,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,2666973320,129687
1755464324,11399470,0x434f62842c4b114ade5660e574e75a80d8752f0a,-177831170861506178,8215063,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,328969
1755464325,11399471,0x434f62842c4b114ade5660e574e75a80d8752f0a,-84604576862079884,3908382,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,277601
1755464326,11399472,0x8d5899248ea8b5805c2a62a9c02150f61b390f8c,-97615504942350548,4509433,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,124921675,273717
1755464327,11399473,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,26400820258551652352,-1218369423,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,3673728914,122985
1755464327,11399473,0x1ebdfc75ffe3ba3de61e7138a3e8706ac841af9b,15000000000000000000,-692424561,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,1265000000,124374
1755464346,11399493,0x8336f3d8437e931b04c5214dd6c4bfbfafec2a78,-59067972698739479,2729081,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,101000002,408467
1755464371,11399518,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,66000000000000000000,-3045653210,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,125261
1755464377,11399524,0x3994898cf05c7e09683d3daade57c0945ffba027,-800104622557168115,36957282,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,190447
1755464384,11399531,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,13135310683565936640,-606116130,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1816416012,122938
1755464386,11399533,0x1ebdfc75ffe3ba3de61e7138a3e8706ac841af9b,1000000000000000000,-46155839,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,120000000,135509
1755464389,11399536,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,36563501846328832000,-1687134865,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,5227150989,122950
1755464391,11399538,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,12000000000000000000,-553694362,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,155330
1755464394,11399541,0x058e99e564c3a600bdea7f082aba09a877023e0e,618129245377396736,-28529908,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,361972922,364925
1755464399,11399546,0x3e851976dca1bc02a2f35ce926dcafd1deb3359b,-130986769814477192,6051754,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,720000000,871362
1755464405,11399553,0x1ebdfc75ffe3ba3de61e7138a3e8706ac841af9b,18000000000000000000,-830673883,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,1265000000,125352
1755464412,11399560,0x064d6bd93ed7fb11a9dc83a794c731496b7114ea,79233203298393718784,-3655707186,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,12461274012,129694
1755464415,11399563,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,75000000000000000000,-3460060974,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,124324
1755464416,11399564,0x3994898cf05c7e09683d3daade57c0945ffba027,-800047549600808904,36944742,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,190184
1755464418,11399566,0x0a0758d937d1059c356d4714e57f5df0239bce1a,-62413071811258257724,2882235666,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,120000000,600110
1755464418,11399566,0x0a0758d937d1059c356d4714e57f5df0239bce1a,-2599745231653318954,120079911,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,120000000,600110
1755464427,11399575,0x0a0758d937d1059c356d4714e57f5df0239bce1a,-799389496293364420,36924081,0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,130000000,590765
1755464433,11399581,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,30000000000000000000,-1384042904,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,118602
1755464434,11399582,0x6d99e7f6747af2cdbb5164b6dd50e40d4fde1e77,200000000000000000,-9226779,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,110000000,121738
1755464451,11399599,0x4e2960a8cd19b467b82d26d83facb0fae26b094d,66000000000000000000,-3044711669,0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,1210000000,124324
